Waterbody_Name,Fish_Species_Present_at_Waterbody,Number_of_species,Comments,Special_Regulations_on_Waterbody,County,Types_of_Public_Access,Public_Fishing_Access_Owner,Waterbody_Information,Longitude,Latitude,Location
Spruce Creek,Brook Trout - Brown Trout*,2,None,,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrecanadack.pdf,-74.77501589,43.12290358,"(43.122903578, -74.775015894)"
West Canada Creek,Brook Trout* - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/9238.html,-75.10676624,43.23754175,"(43.237541746, -75.106766237)"
Oriskany Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.40071171,43.03223626,"(43.032236263, -75.40071171)"
Meco Creek,Brown Trout*,1,None,,Fulton,,,,-74.36219707,43.05041322,"(43.050413222, -74.362197066)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.87768708,43.13801064,"(43.138010643, -73.877687077)"
Batten Kill,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31502.html,Washington,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbattenkil.pdf,-73.27217639,43.10124268,"(43.101242681, -73.272176385)"
Schroon River,Brook Trout* - Brown Trout* - Rainbow Trout - Atlantic Salmon*,4,None,http://www.dec.ny.gov/outdoor/31501.html,Warren,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschroon.pdf,-73.73141167,43.60794887,"(43.607948869, -73.731411667)"
Glen Creek,Brown Trout*,1,None,,Warren,Shore Fishing,Wilcox Lake Wild Forest (DEC),http://www.dec.ny.gov/lands/22584.html,-73.88414694,43.58018502,"(43.580185017, -73.88414694)"
Mill Creek,Brook Trout* - Brown Trout*,2,None,,Warren,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrmillckr5.pdf,-73.97839802,43.58272807,"(43.582728065, -73.978398024)"
Perch River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp,8,None,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23890.html,-76.07717455,44.00253222,"(44.00253222, -76.077174546)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.13183006,43.39665974,"(43.396659736, -75.131830064)"
Moose River,Brook Trout*,1,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing,Black River Wild Forest (DEC),http://www.dec.ny.gov/lands/49959.html,-75.10245644,43.6119676,"(43.611967601, -75.102456443)"
Stoney Creek,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon,4,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstonyck.pdf,-76.20016968,43.83747981,"(43.837479812, -76.200169676)"
Sandy Creek,Brown Trout* - Steelhead - Coho Salmon - Chinook Salmon,4,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement - Lakeview Wildlife Management Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsandyckr6.pdf,-76.1857244,43.74404627,"(43.744046271, -76.185724398)"
South Sandy Creek,Brown Trout - Steelhead* - Coho Salmon - Chinook Salmon*,4,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrssandyck.pdf,-76.14674909,43.72661703,"(43.726617029, -76.146749092)"
West Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,3,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23882.html,-75.8128025,43.38926143,"(43.389261426, -75.812802499)"
East Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,3,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrebfishcreek.pdf,-75.54943329,43.52835846,"(43.528358464, -75.549433287)"
Chaumont River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp - Channel Catfish,9,None,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Boat Launch (Trailer Improved),New York State Parks,http://www.dec.ny.gov/outdoor/23890.html,-76.1489335,44.06841542,"(44.068415416, -76.148933498)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,None,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/29956.html,-76.32197054,44.13307527,"(44.133075265, -76.321970536)"
Grass River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp,9,None,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Upper and Lower Lakes Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/23866.html,-75.22705613,44.62116423,"(44.62116423, -75.227056126)"
Fish Creek (St. Lawrence),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye,7,None,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Unimproved),Fish Creek Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/9322.html,-75.58309983,44.48113235,"(44.481132348, -75.583099831)"
Indian River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp - Channel Catfish,9,None,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,Shore Fishing - Boat Launch (Trailer Unimproved),Indian River State Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/23890.html,-75.76050809,44.26514684,"(44.265146835, -75.760508085)"
Chateaugay River,Brook Trout* - Brown Trout* - Rainbow Trout* - Smallmouth Bass,4,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrchateaugay.pdf,-74.09451049,44.92553579,"(44.925535788, -74.094510485)"
Trout River,Brown Trout*,1,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,,,,-74.29333725,44.91834455,"(44.918344554, -74.293337254)"
Salmon River,Brook Trout - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrf.pdf,-74.37459208,44.92932209,"(44.929322086, -74.374592082)"
Little Salmon River,Brook Trout - Brown Trout,2,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrlitsalmon.pdf,-74.46820518,44.81492006,"(44.814920064, -74.468205183)"
St. Regis River,Brook Trout - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights - Boat launch (Hand Launch),Public Easement - Debar Mountain Wild Forest (DEC) - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstregis.pdf,-74.47196149,44.65977796,"(44.659777959, -74.47196149)"
Batavia Kill,Brook Trout - Brown Trout* - Rainbow Trout,3,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbataviak.pdf,-74.30587239,42.29304528,"(42.293045276, -74.305872393)"
Deer River,Brown Trout*,1,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement - Deer River State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrdeerriver.pdf,-74.50157492,44.73002917,"(44.730029173, -74.501574916)"
Ten Mile Creek,Brook Trout - Brown Trout* - Rainbow Trout,3,None,http://www.dec.ny.gov/outdoor/31441.html,Dutchess,Shore Fishing - Public Fishing Rights,Public Easement - Wassaic State Multiple Use Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrtenmilewassaic.pdf,-73.57519622,41.77490123,"(41.774901231, -73.575196222)"
Delaware River (Upper),Brown Trout - Rainbow Trout - Smallmouth Bass - Walleye - Carp,5,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23900.html,-75.27685072,41.93511364,"(41.935113637, -75.276850723)"
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,4,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23864.html,-74.9125554,41.47643494,"(41.476434942, -74.912555402)"
Neversink River,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.60944853,41.78163445,"(41.781634451, -74.609448532)"
Mongaup River,Brown Trout*,1,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing,Thompson Park (Municipal),,-74.70954611,41.72131319,"(41.721313192, -74.709546114)"
Hudson River (Upper Hudson),Brown Trout* - Rainbow Trout*,2,None,,Warren,Shore Fishing - Public Fishing Rights,Public Easement - Vanderwhacker Mountain Wild Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrhudson.pdf,-74.03491978,43.7371632,"(43.737163196, -74.034919779)"
East Branch Delaware River (Upper),Brook Trout - Brown Trout*,2,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,,,,-74.62961859,42.15160567,"(42.151605667, -74.629618591)"
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout,3,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement - Tomannex State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-75.08716292,42.01727344,"(42.017273442, -75.087162917)"
Beaver Kill,Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-75.02370993,41.96958342,"(41.96958342, -75.023709933)"
Willowemoc Creek,Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwillocklb.pdf,-74.81217934,41.90328988,"(41.903289881, -74.81217934)"
West Branch Delaware River (Upper),Brook Trout - Brown Trout*,2,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-74.69321174,42.36696193,"(42.366961925, -74.693211738)"
West Branch Delaware River (Lower),Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,4,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-75.40731877,42.07437241,"(42.074372406, -75.407318767)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Albany,Shore Fishing - Boat Launch (Trailer Improved),Corning City Preserve (Municipal),http://www.dec.ny.gov/outdoor/23912.html,-73.74093081,42.65748423,"(42.657484231, -73.740930806)"
Rondout Creek,Smallmouth Bass - Largemouth Bass - Sunfish - Walleye,4,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/58871.html,-74.03013258,41.88486677,"(41.884866772, -74.030132584)"
Wallkill River,Smallmouth Bass - Walleye - Carp,3,Electric Motors Only.,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/58866.html,-74.08549445,41.8020854,"(41.802085397, -74.085494448)"
Esopus Creek,Brook Trout - Brown Trout* - Rainbow Trout,3,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfresopusck.pdf,-74.28566609,42.04916994,"(42.049169943, -74.285666094)"
Ramapo River,Brook Trout - Brown Trout* - Rainbow Trout*,3,None,,Orange,Shore Fishing - Public Fishing Rights,Public Easement - Harriman State Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrramapo.pdf,-74.18377059,41.19572663,"(41.195726627, -74.183770586)"
East Branch Cazenovia Creek,Brown Trout*,1,None,http://www.dec.ny.gov/outdoor/31442.html,Erie,Shore Fishing,Emery County Park,,-78.58704971,42.71557107,"(42.715571068, -78.587049709)"
Schoharie Creek (Lower),Smallmouth Bass - Walleye - Carp,3,None,http://www.dec.ny.gov/outdoor/31464.html,Montgomery,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23885.html,-74.25786982,42.80462835,"(42.804628354, -74.257869822)"
Canoga Creek,Brook Trout*,1,None,,Seneca,Shore Fishing,Canoga Marsh Wildlife Management Area (DEC),,-76.74928933,42.86255347,"(42.862553473, -76.749289332)"
West Kill,Brook Trout - Brown Trout* - Rainbow Trout,3,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestkill.pdf,-74.34104746,42.19801311,"(42.198013111, -74.341047462)"
East Kill,Brown Trout* - Rainbow Trout,2,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschoharie.pdf,-74.31029929,42.24231811,"(42.242318111, -74.310299294)"
Hoosic River,Brown Trout - Rainbow Trout - Smallmouth Bass - Carp,4,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrhoosic.pdf,-73.40277033,42.95001968,"(42.950019683, -73.402770331)"
Roeliff Jansen Kill,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31441.html,Dutchess,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrrojankil.pdf,-73.66143351,41.99745035,"(41.99745035, -73.661433506)"
Catskill Creek,Brown Trout*,1,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcatskillc.pdf,-74.13286646,42.40275613,"(42.402756126, -74.132866461)"
Kinderhook Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31438.html,Columbia,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkinderhook.pdf,-73.45218208,42.49241296,"(42.492412956, -73.452182076)"
Poesten Kill,Brook Trout - Brown Trout,2,None,,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrPoestenk.pdf,-73.58275495,42.70582836,"(42.70582836, -73.582754945)"
Schoharie Creek (Upper),Brook Trout - Brown Trout*,2,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschoharie.pdf,-74.39994922,42.2834234,"(42.283423399, -74.399949217)"
Walloomsac River,Brown Trout*,1,None,,Rensselear,,,,-73.34420094,42.92666117,"(42.926661166, -73.344200937)"
Little Hoosic River,Brown Trout,1,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrhoosic.pdf,-73.36211594,42.7318217,"(42.731821699, -73.36211594)"
West Branch Croton River,Brown Trout*,1,None,http://www.dec.ny.gov/outdoor/31478.html,Putnam,,,,-73.73224007,41.44742592,"(41.447425921, -73.732240069)"
Unadilla River,Brown Trout*,1,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwhartonck.pdf,-75.32751285,42.62590391,"(42.625903909, -75.32751285)"
East Branch Croton River,Brown Trout* - Rainbow Trout*,2,None,http://www.dec.ny.gov/outdoor/31478.html,Putnam,,,,-73.6149164,41.39353435,"(41.393534351, -73.614916399)"
Schenevus Creek,Brook Trout - Brown Trout*,2,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschenevus.pdf,-74.90864878,42.51830902,"(42.518309018, -74.908648783)"
Charlotte Creek,Brook Trout - Brown Trout*,2,None,,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcharlotte.pdf,-74.79700956,42.49579058,"(42.495790582, -74.797009563)"
Butternut Creek,Brook Trout - Brown Trout*,2,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbuternut.pdf,-75.1538062,42.65082123,"(42.650821229, -75.1538062)"
Wharton Creek,Brook Trout - Brown Trout*,2,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwhartonck.pdf,-75.30711073,42.6257862,"(42.625786195, -75.30711073)"
Otego Creek,Brook Trout - Brown Trout*,2,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrotegock.pdf,-75.10805362,42.47066468,"(42.470664677, -75.108053618)"
Chautauqua Creek,Steelhead*,1,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/chautauquacreek.pdf,-79.57837547,42.30582201,"(42.30582201, -79.578375466)"
Niagara River (Lower),Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Lake Trout - Smallmouth Bass - Yellow Perch - Muskellunge - Walleye* - Carp,10,None,http://www.dec.ny.gov/outdoor/31425.html,Niagara,Shore Fishing - Boat Launch (Trailer Improved),Fort Niagara State Park,http://www.dec.ny.gov/outdoor/67913.html,-79.05924937,43.26100669,"(43.26100669, -79.059249369)"
Eighteen Mile Creek,Brown Trout* - Steelhead* - Smallmouth Bass,3,None,http://www.dec.ny.gov/outdoor/31420.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/eighteenmilesouth.pdf,-78.94069733,42.69924947,"(42.699249465, -78.940697332)"
Cattaraugus Creek (Upper),Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31442.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreekhosmer.pdf,-78.47823533,42.5347043,"(42.534704298, -78.478235329)"
Cattaraugus Creek (Lower),Brown Trout* - Steelhead* - Smallmouth Bass - Channel Catfish,4,None,http://www.dec.ny.gov/outdoor/31420.html,Cattaraugus,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreeksteelhead.pdf,-78.81256044,42.45606665,"(42.456066652, -78.812560443)"
Lime Lake Outlet,Brown Trout - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/limelakemckin.pdf,-78.48116378,42.45489038,"(42.45489038, -78.481163775)"
Hosmer Brook,Brown Trout - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31442.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreekhosmer.pdf,-78.50432021,42.54100585,"(42.541005854, -78.504320212)"
Clear Creek (Arcade),Brown Trout - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/clearcreekarcade.pdf,-78.35883796,42.48567184,"(42.485671835, -78.358837963)"
Canadaway Creek,Brown Trout* - Steelhead* - Smallmouth Bass,3,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/canadawaycreek.pdf,-79.36464577,42.47549569,"(42.475495688, -79.364645774)"
Genesee River (Upper),Brown Trout* - Rainbow Trout* - Smallmouth Bass,3,None,http://www.dec.ny.gov/outdoor/31494.html,Allegany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/geneseeriver.pdf,-77.98530916,42.17123545,"(42.171235454, -77.985309157)"
Wiscoy Creek,Brook Trout - Brown Trout,2,None,http://www.dec.ny.gov/outdoor/31505.html,Wyoming,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/wiscoy.pdf,-78.24454459,42.58025623,"(42.580256225, -78.244544594)"
East Koy Creek,Brown Trout*,1,None,http://www.dec.ny.gov/outdoor/31505.html,Wyoming,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/eastkoycreek.pdf,-78.09592052,42.53558559,"(42.535585592, -78.095920517)"
Eighteen Mile Creek,Brown Trout - Steelhead* - Atlantic Salmon - Chinook Salmon* - Coho Salmon* - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Carp - Channel Catfish,13,None,http://www.dec.ny.gov/outdoor/31420.html,Niagara,Shore Fishing,Fisherman's Park (Municipal),http://www.dec.ny.gov/outdoor/26912.html,-78.71537023,43.31731246,"(43.317312455, -78.715370228)"
Allegheny River,Smallmouth Bass - Muskellunge* - Northern Pike - Walleye - Carp,5,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/26987.html,-78.52956685,42.10167981,"(42.10167981, -78.529566849)"
Tonawanda Creek (Barge Canal),Smallmouth Bass - Largemouth Bass - Sunfish - Northern  Pike - Walleye - Carp,6,None,,Niagara,Shore Fishing - Boat Launch (Trailer Improved),West Canal County Park,,-78.82188761,43.05196002,"(43.051960018, -78.821887614)"
Niagara River (Upper),Rainbow Trout - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Muskellunge - Northern Pike - Walleye - Carp,9,Marina available at state park.,http://www.dec.ny.gov/outdoor/31428.html,Erie,Shore Fishing - Boat Launch (Trailer Improved),Big Six Mile Creek Marina (New York State Park),http://www.dec.ny.gov/outdoor/23898.html,-79.01179447,43.02430661,"(43.024306611, -79.01179447)"
Conewango Creek,Smallmouth Bass - Largemouth Bass - Muskellunge - Northern Pike. Walleye - Carp,5,None,,Chautauqua,Shore Fishing,Conewango Swamp Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/26987.html,-79.03712769,42.18686376,"(42.186863764, -79.037127689)"
Quaker Run,Brook Trout - Brown Trout*,2,Camping available at state park.,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing,Allegany State Park,,-78.8115383,42.01141195,"(42.011411954, -78.811538299)"
Ischua Creek,Brook Trout* - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/ischuacreek.pdf,-78.46307783,42.33544159,"(42.335441593, -78.46307783)"
Red House Brook,Brook Trout* - Brown Trout*,2,Camping available at state park.,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing,Allegany State Park,,-78.72345408,42.03356273,"(42.033562728, -78.723454083)"
Cassadaga Creek,Smallmouth Bass - Muskellunge - Northern Pike,3,None,,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cassadagack.pdf,-79.29897139,42.3121849,"(42.312184901, -79.298971392)"
Goose Creek,Brook Trout* - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/goosecreek.pdf,-79.47489045,42.09490789,"(42.094907888, -79.474890452)"
Clear Creek (Ellington),Brown Trout,1,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/clearcreekelling.pdf,-79.14218849,42.24897669,"(42.248976693, -79.142188487)"
Oswegatchie River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp - Channel Catfish,9,Camping available at state park.,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Eel Weir State park,http://www.dec.ny.gov/outdoor/23866.html,-75.47442396,44.63014103,"(44.630141028, -75.474423958)"
Genesee River (Lower),Brown Trout - Steelhead* - Coho Salmon* - Chinook Salmon* - Walleye - Carp,6,None,http://www.dec.ny.gov/outdoor/31420.html,Monroe,Boat Launch (Trailer Improved),Ontario Beach County Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrgeneseriv.pdf,-77.60847748,43.25401456,"(43.254014557, -77.608477482)"
East Branch Owego Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31498.html,Tioga,Shore Fishing - Public Fishing Rights,Public Easement - Michigan Hill State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/r7ebrowegpfr.pdf,-76.19231146,42.39489623,"(42.394896233, -76.192311456)"
Susquehanna River,Smallmouth Bass - Sunfish - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,7,None,,Otsego,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.0997958,42.44188162,"(42.441881624, -75.099795797)"
